cycle,range_bin,doppler_bin,output_hex
1143605000,26,17,0122002f
1143615000,26,18,feffff3b
1143625000,26,19,ff930109
1143635000,26,20,01db010f
1143645000,26,21,001700ed
1143655000,26,22,fabdfce0
1143665000,26,23,054d0087
1143675000,26,24,fd0900d0
1143685000,26,25,032600f1
1143695000,26,26,fd9b00ef
1143705000,26,27,027ffea1
1143715000,26,28,ff83002f
1143725000,26,29,fe590103
1143735000,26,30,00f9ff82
1143745000,26,31,ffc1ffc7
1145625000,27,0,ffb4ffbf
1145635000,27,1,ffffff50
1145645000,27,2,01220216
1145655000,27,3,fdb2fcf2
1145665000,27,4,01b60188
1145675000,27,5,01e9ff31
1145685000,27,6,fc4f01b0
1145695000,27,7,006bfce5
1145705000,27,8,00c80179
1145715000,27,9,ff750186
1145725000,27,10,0146ff9e
1145735000,27,11,fec0fe5e
1145745000,27,12,ffba0198
1145755000,27,13,00f3ffed
1145765000,27,14,ffb5ff7c
1145775000,27,15,007b009f
1147655000,27,16,ffdf00c6
1147665000,27,17,0037ff9d
1147675000,27,18,febefef4
1147685000,27,19,02d20111
1147695000,27,20,fd7e02f1
1147705000,27,21,ff1bfc6b
1147715000,27,22,018000ff
1147725000,27,23,ff01ffc5
1147735000,27,24,0071fe54
1147745000,27,25,00630165
1147755000,27,26,00aa027c
1147765000,27,27,00e2fc37
1147775000,27,28,fe5a02b1
1147785000,27,29,00dbfebf
1147795000,27,30,ff500145
1147805000,27,31,fffbfeb7
1149685000,28,0,ffbbfff8
1149695000,28,1,004cffd5
1149705000,28,2,fee90175
1149715000,28,3,014cfd2d
1149725000,28,4,fffb02ae
1149735000,28,5,fdbbfcf1
1149745000,28,6,022e0619
